URL,Name,fiber_g,sodium_g,carbohydrates_g,fat_g,protein_g,sugar_g,saturate_g,size_g,Servings,calories_kCal,category,image_link,fat_100g,fiber_100g,sugar_100g,saturated_100g,protien_100g,sodium_100mg,carbohydrates_100g,kj_100g,Nutri_score,Fsa_new,salt_100g,salt_g,fat_count,satfat_count,sugar_count,salt_count,NumberRatings
http://allrecipes.com/recipe/authentic-louisiana-red-beans-and-rice/detail.aspx,Authentic Louisiana Red Beans and Rice,10.1,0.6,79.1,24.2,24,2.6,6.7,4074.96,8,630,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/07/14/71422.jpg,4.750966881,1.982841549,0.510434458,1.315350335,,117.7925673,15.52898679,517.8326168,A,8,0.299193121,1.524,3,3,1,1,179
http://allrecipes.com/recipe/pleasant-pork-chops/detail.aspx,Pleasant Pork Chops,0.6,0.08,4.1,20.2,15.4,1,11,1216.81,6,259,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/06/38/63867.jpg,9.96047041,0.295855557,0.493092595,5.42401854,,39.44740757,2.021679638,534.7003394,B,7,0.100196415,0.2032,2,3,1,1,201
http://allrecipes.com/recipe/vegetarian-chickpea-sandwich-filling/detail.aspx,Vegetarian Chickpea Sandwich Filling,8.5,0.58,43.5,5.8,9.3,1.2,0.8,664.45,3,259,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/04/07/40762.jpg,2.618707201,3.837760554,0.54180149,0.361200993,,261.8707201,19.64030401,489.5994582,A,5,0.665151629,1.4732,1,1,1,2,224
http://allrecipes.com/recipe/kung-pao-chicken/detail.aspx,Kung Pao Chicken,4.2,0.6,25.3,23.3,34.4,6.8,3.8,1009.16,4,437,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/39/65/396549.jpg,9.235403702,1.664750882,2.695310952,1.506203179,,237.8215546,10.02814222,725.209719,A,8,0.604066749,1.524,3,2,1,2,249
http://allrecipes.com/recipe/shepherds-pie-vi/detail.aspx,Shepherd's Pie VI,7.3,0.3,52.5,17,23.1,5.8,7.3,2651.45,6,452,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/06/07/60738.jpg,3.846951668,1.651926304,1.312489393,1.651926304,,67.88738238,11.88029192,428.2412114,A,7,0.172433951,0.762,2,3,1,1,657
http://allrecipes.com/recipe/stuffed-peppers-with-turkey-and-vegetables/detail.aspx,Stuffed Peppers with Turkey and Vegetables,3.2,0.53,10.2,15.6,25.4,5.6,3.2,1389.18,4,280,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/43/06/430694.jpg,4.491858506,0.921406873,1.612462028,0.921406873,,152.6080134,2.936984408,337.5528009,A,6,0.387624354,1.3462,2,1,1,2,120
http://allrecipes.com/recipe/spicy-grilled-shrimp/detail.aspx,Spicy Grilled Shrimp,1.1,1.23,2.7,5.9,25.1,0.1,1,1076.33,6,164,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/83/82/838277.jpg,3.288954131,0.613194838,0.055744985,0.557449853,,685.6633189,1.505114602,382.7646911,C,7,1.74158483,3.1242,2,1,1,3,174
http://allrecipes.com/recipe/charleys-slow-cooker-mexican-style-meat/detail.aspx,Charley's Slow Cooker Mexican Style Meat,0.7,0.32,3.3,19.1,18.4,1.5,7,2340.75,12,260,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/50/38/503846.jpg,9.791733419,0.35885934,0.7689843,3.5885934,,164.049984,1.69176546,558.0611343,B,8,0.416686959,0.8128,2,3,1,2,252
http://allrecipes.com/recipe/gourmet-chicken-sandwich/detail.aspx,Gourmet Chicken Sandwich,3.1,0.83,58,15.7,34.6,1,3.1,982.88,4,522,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/19/76/197622.jpg,6.389386293,1.261598567,0.40696728,1.261598567,,337.7828423,23.60410223,889.430897,B,7,0.857968419,2.1082,2,1,1,3,61
http://allrecipes.com/recipe/real-italian-calzones/detail.aspx,Real Italian Calzones,1.6,0.69,32.3,17.9,15.6,0.9,7.9,1080.42,8,356,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/07/09/70936.jpg,13.25410489,1.184724459,0.666407508,5.849577016,,510.9124229,23.91662502,1103.645471,D,8,1.297717554,1.7526,2,3,1,2,210
