person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
1055,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Three Cheese Manicotti II,1055,180
1056,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,1056,143
1057,b45_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",High,Healthy,Female,Linguine Pasta with Shrimp and Tomatoes,1057,107
1066,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit",Medium,Very_Healthy,Male,Baked Ziti I,1066,16
1067,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",High,Healthy,Male,Coconut Shrimp I,1067,60
1068,b45_55,US,BA,Lactose intolerance,No goals,High,Neither_healthy_no_unhealthy,Female,Stuffed Shells I,1068,170
1069,b35_45,US,BA,No Dietary Restrictions,No goals,High,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,1069,178
1070,b35_45,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Female,Pizza On The Grill I,1070,120
1071,b25_35,US,MSc,"Gluten-free, Halal, Kosher","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein",Very High,Very_Healthy,Male,Chipotle Shrimp Tacos,1071,56
1073,bover_55,US,MSc,Diabetes,No goals,High,Healthy,Male,Honey Glazed Ham,1073,95
1074,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter,1074,103
1076,bover_55,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Baked Ziti I,1076,16
1077,b35_45,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Stuffed Shells III,1077,171
1078,b25_35,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,1078,120
