person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
77,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Male,Fruits and Vegetables,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,0.088227962,High,Agree,Agree,Strongly_Agree,Neutral,Neutral,Disagree,No label
78,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Female,Fruits and Vegetables,Spinach Cheese Manicotti,unhealthy,B,9,0.326735473,Medium,Agree,Agree,Agree,Agree,Agree,Agree,No label
79,b35_45,US,BA,['Vegetarian'],['Lose weight'],High,Very_Healthy,Female,Fruits and Vegetables,Simple Carnitas,healthy,D,8,0.137166994,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,No label
80,b45_55,US,BA,['Diabetes'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Roast Sticky Chicken-Rotisserie Style,unhealthy,B,10,0.096423816,High,Agree,Strongly_Agree,Neutral,Agree,Neutral,Agree,No label
81,b35_45,US,BA,['Vegetarian'],['Eat more fruit'],High,Healthy,Male,Fruits and Vegetables,Kathy's Roast and Vegetables,healthy,A,7,0.37981674,Low,Neutral,Agree,Agree,Neutral,Agree,Agree,No label
82,b25_35,US,BA,"['Gluten free', ' Vegetarian']",['Gain weight'],High,Healthy,Female,Fruits and Vegetables,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Neutral,Agree,Agree,Agree,Strongly_Agree,Agree,No label
83,b45_55,US,MSc,"['Lactose intolerance', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Female,Fruits and Vegetables,Tomato Bacon Grilled Cheese,unhealthy,E,10,0.402008191,Low,Neutral,Agree,Neutral,Agree,Agree,Strongly_Agree,No label
84,b25_35,US,BA,['Diabetes'],['No goals'],High,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Easy Herb Roasted Turkey,healthy,A,8,0.131328601,High,Agree,Strongly_Agree,Agree,Agree,Neutral,Agree,No label
85,b25_35,US,MSc,['Vegetarian'],['Eat more fruit'],Very High,Very_Healthy,Male,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Agree,Agree,No label
86,b45_55,US,MSc,"['Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Female,Fruits and Vegetables,Spinach and Feta Turkey Burgers,healthy,A,7,0.207379914,Medium,Agree,Agree,Strongly_Agree,Neutral,Agree,Agree,No label
87,b35_45,US,High_school,['No dietary restrictions'],"['Eat more protein', 'Eat more vegetables']",Medium,Unhealthy,Male,Meat and Poultry,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,0.690292356,Low,Agree,Neutral,Agree,Disagree,Neutral,Disagree,No label
89,b45_55,US,BA,"['Halal', ' Kosher', ' Lactose intolerance', ' Pescatarian']","['Eat more fruit', 'Eat more protein']",High,Very_Healthy,Female,Meat and Poultry,Italian Subs - Restaurant Style,unhealthy,D,10,0.35244794,Medium,Neutral,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,No label
90,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Male,Fruits and Vegetables,Grilled Tilapia with Mango Salsa,healthy,A,8,0.118788429,High,Agree,Neutral,Agree,Agree,Neutral,Agree,No label
91,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Meat and Poultry,Chicken Marsala Florentine,unhealthy,C,9,0.447204929,Low,Agree,Agree,Agree,Agree,Neutral,Agree,No label
92,b25_35,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Foolproof Rib Roast,unhealthy,B,10,0.30055553,Medium,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,No label
93,b35_45,US,MSc,"['Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat more fruit', 'Eat more vegetables']",High,Healthy,Female,Meat and Poultry,Simple Carnitas,healthy,D,8,0.137166994,High,Agree,Disagree,Neutral,Agree,Agree,Strongly_Agree,No label
94,b35_45,US,BA,['Diabetes'],['Eat less sugar'],Medium,Healthy,Male,Meat and Poultry,Crispy Fried Chicken,healthy,A,6,0.378483013,Low,Strongly_Agree,Neutral,Agree,Agree,Strongly_Agree,Strongly_Agree,No label
96,b25_35,US,BA,"['Diabetes', ' Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Fruits and Vegetables,Bacon Jack Chicken Sandwich,unhealthy,B,10,0.338754507,Medium,Agree,Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,No label
99,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",High,Healthy,Male,Meat and Poultry,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,0.690292356,Low,Agree,Strongly_Agree,Agree,Agree,Neutral,Disagree,No label
100,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Seafood Pasta and Noodles,Spinach Tomato Tortellini,unhealthy,C,9,0.276203942,Medium,Strongly_Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,No label
105,b25_35,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Meat and Poultry,Beer Butt Chicken,unhealthy,D,10,0.314341207,Medium,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,No label
109,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",High,Healthy,Male,Meat and Poultry,G's Flank Steak Marinade,healthy,D,8,0.386426398,Low,Strongly_Agree,Agree,Agree,Agree,Neutral,Disagree,No label
114,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Fruits and Vegetables,Queenie's Killer Tomato Bagel Sandwich,healthy,B,8,0.095444274,High,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Strongly_Agree,Neutral,No label
115,b45_55,US,MSc,['Kosher'],['Eat more protein'],Medium,Healthy,Female,Meat and Poultry,Teena's Spicy Pesto Chicken and Pasta,healthy,A,7,0.262395373,Medium,Agree,Neutral,Agree,Agree,Neutral,Agree,No label
118,b25_35,US,BA,['Vegetarian'],"['Eat less salt', 'Eat less sugar', 'Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Seafood Pasta and Noodles,Three Cheese Manicotti II,unhealthy,C,11,0.315844558,Medium,Agree,Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,No label
119,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Fruits and Vegetables,Pizza On The Grill I,healthy,C,7,0.240301113,Medium,Agree,Neutral,Agree,Neutral,Agree,Neutral,No label
