person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,healthiness,Nutri_score,fsa_score,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition,num_nutri,str_condition
1101,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Grilled Sausage with Potatoes and Green Beans,unhealthy,D,10,Disagree,Agree,Agree,Disagree,Agree,Disagree,2,4,MTL
1102,b25_35,US,BA,Halal,Eat more fruit,Medium,Very_Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream,unhealthy,C,10,Strongly_Agree,Agree,Strongly_Agree,Agree,Neutral,Agree,2,3,MTL
1103,b35_45,US,High_school,"Halal, Kosher","Eat more fruit,Eat more protein",Very High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,Agree,Agree,Neutral,Agree,Strongly_Agree,Agree,2,2,MTL
1104,b25_35,US,MSc,No Dietary Restrictions,No goals,Medium,Healthy,Female,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,Agree,Strongly_Agree,Agree,Neutral,Agree,Disagree,2,2,MTL
1105,b45_55,US,High_school,No Dietary Restrictions,No goals,Very High,Healthy,Female,Spinach and Feta Turkey Burgers,healthy,A,7,Disagree,Disagree,Disagree,Disagree,Strongly_Disagree,Disagree,2,1,MTL
1106,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,G's Flank Steak Marinade,healthy,D,8,Agree,Neutral,Agree,Neutral,Strongly_Agree,Disagree,2,4,MTL
1107,bover_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",Medium,Unhealthy,Female,Bacon Wrapped Pork Medallions,unhealthy,B,10,Strongly_Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,2,MTL
1108,b25_35,US,BA,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I,healthy,C,7,Agree,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,2,3,MTL
1109,b25_35,US,MSc,No Dietary Restrictions,No goals,High,Healthy,Male,Beef Stroganoff III,unhealthy,C,9,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,2,3,MTL
1110,b45_55,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Souvlaki,healthy,A,6,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,Neutral,2,1,MTL
1111,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Simple Carnitas,healthy,D,8,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,2,4,MTL
1112,b25_35,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Male,Kalua Pig in a Slow Cooker,healthy,B,8,Agree,Strongly_Agree,Agree,Disagree,Agree,Strongly_Disagree,2,2,MTL
1115,b25_35,US,High_school,Gluten-free,"Eat less sugar,Eat more vegetables,Lose weight",Medium,Healthy,Female,Italian Sausage' Peppers' and Onions,unhealthy,D,10,Strongly_Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Disagree,2,4,MTL
1116,b25_35,US,MSc,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Champagne Shrimp and Pasta,healthy,B,8,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,2,2,MTL
1118,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar",High,Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream,unhealthy,C,10,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,2,3,MTL
1122,b35_45,US,MSc,No Dietary Restrictions,"No goals,Eat more vegetables",Medium,Healthy,Male,Simple Carnitas,healthy,D,8,Neutral,Strongly_Agree,Agree,Disagree,Strongly_Agree,Agree,2,4,MTL
1123,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Chicken Pot Pie IX,unhealthy,B,10,Agree,Strongly_Agree,Neutral,Disagree,Agree,Agree,2,2,MTL
1129,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Sensational Sirloin Kabobs,healthy,B,8,Agree,Strongly_Agree,Neutral,Disagree,Neutral,Strongly_Agree,2,2,MTL
1130,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Coconut Shrimp I,healthy,A,7,Disagree,Strongly_Agree,Strongly_Agree,Neutral,Strongly_Agree,Agree,2,1,MTL
1131,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,2,MTL
1132,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Unhealthy,Female,Chicken Pot Pie IX,unhealthy,B,10,Strongly_Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,2,2,MTL
1133,b25_35,US,MSc,"No Dietary Restrictions, Pescatarian, Vegetarian","Eat less salt,Eat more protein",Medium,Healthy,Male,Braised Corned Beef Brisket,unhealthy,B,10,Agree,Agree,Strongly_Agree,Agree,Agree,Agree,2,2,MTL
1134,b18_24,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Female,BBQ Pork for Sandwiches,unhealthy,C,9,Agree,Agree,Strongly_Agree,Neutral,Neutral,Agree,2,3,MTL
1135,b18_24,US,BA,"Diabetes, Kosher, Pescatarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Male,Baked Halibut Steaks,healthy,A,5,Agree,Neutral,Agree,Agree,Strongly_Agree,Agree,2,1,MTL
1136,b25_35,US,BA,"Halal, Pescatarian",Eat more fruit,High,Healthy,Female,Coconut Shrimp I,healthy,A,7,Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,2,1,MTL
1137,b45_55,US,High_school,No Dietary Restrictions,No goals,Low,Healthy,Male,Tangy Turkey and Swiss Sandwiches,unhealthy,D,10,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,2,4,MTL
1138,b25_35,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Italian Subs - Restaurant Style,unhealthy,D,10,Agree,Agree,Agree,Agree,Agree,Agree,2,4,MTL
1139,b45_55,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Pizza On The Grill I,healthy,C,7,Agree,Agree,Agree,Agree,Agree,Agree,2,3,MTL
1140,b35_45,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more vegetables",Very High,Healthy,Female,Stuffed Peppers My Way,unhealthy,B,9,Agree,Neutral,Agree,Agree,Disagree,Neutral,2,2,MTL
1141,b25_35,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas,healthy,A,7,Agree,Neutral,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,2,1,MTL
1142,b35_45,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Lamb Chops with Balsamic Reduction,healthy,B,8,Agree,Agree,Strongly_Agree,Disagree,Neutral,Disagree,2,2,MTL
1143,b35_45,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pizza On The Grill I,healthy,C,7,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Disagree,Agree,2,3,MTL
1144,b45_55,US,High_school,Vegetarian,"Eat more protein,Eat more vegetables,Gain weight",High,Healthy,Male,Pizza On The Grill I,healthy,C,7,Agree,Strongly_Agree,Strongly_Agree,Neutral,Strongly_Agree,Strongly_Agree,2,3,MTL
1145,b25_35,US,BA,No Dietary Restrictions,No goals,Very_Low,Very_unhealthy,Male,Cuban Midnight Sandwich,unhealthy,D,10,Agree,Neutral,Agree,Disagree,Agree,Strongly_Disagree,2,4,MTL
1146,b35_45,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Male,Grilled Sausage with Potatoes and Green Beans,unhealthy,D,10,Agree,Neutral,Agree,Disagree,Neutral,Neutral,2,4,MTL
